物品编号,物品重量,物品价值
360,41,120.66
361,69,407.35
362,82,413.29
363,61,246.90
364,47,151.05
365,97,384.80
366,7,110.23
367,50,371.22
368,93,420.60
369,18,312.08
370,76,340.98
371,39,241.71
372,82,231.91
373,51,264.18
374,62,288.03
375,18,367.61
376,94,259.19
377,24,290.23
378,58,293.58
379,73,308.78
380,12,250.56
381,67,378.89
382,56,237.81
383,55,136.17
384,96,375.99
385,30,137.12
386,19,251.79
387,41,294.82
388,71,322.26
389,6,148.25
390,78,160.74
391,29,197.20
392,61,395.06
393,84,421.85
394,100,278.87
395,55,134.19
396,94,368.32
397,74,195.42
398,46,279.12
399,11,278.02
400,32,340.45
401,74,398.31
402,56,397.73
403,24,381.41
404,71,320.97
405,44,258.48
406,3,385.80
407,96,173.16
408,26,185.65
409,23,176.07
410,42,140.43
411,45,122.23
412,19,328.08
413,84,378.17
414,80,376.66
415,2,276.84
416,95,386.06
417,19,269.82
418,88,391.33
419,40,127.49
420,36,302.68
421,28,119.76
422,25,127.75
423,34,149.35
424,60,117.74
425,3,165.76
426,18,315.14
427,77,108.84
428,69,127.69
429,32,416.17
430,100,355.44
431,73,360.25
432,67,103.61
433,44,164.83
434,18,183.10
435,38,234.24
436,72,188.44
437,6,168.33
438,72,199.79
439,83,399.43
440,89,196.85
441,59,276.76
442,65,267.09
443,79,349.76
444,42,266.74
445,39,382.14
446,48,378.44
447,94,192.64
448,82,241.03
449,10,424.87
450,88,389.09
451,25,184.32
452,40,401.05
453,35,113.39
454,36,114.65
455,80,306.22
456,55,274.91
457,4,323.22
458,27,125.96
459,37,209.89
460,59,108.20
461,100,277.12
462,37,291.18
463,36,185.92
464,94,409.59
465,83,336.74
466,4,324.93
467,5,207.87
468,52,226.66
469,14,247.83
470,48,378.33
471,56,327.71
472,91,377.92
473,29,375.32
474,80,359.34
475,73,129.29
476,59,172.15
477,55,358.14
478,50,277.09
479,56,188.83
480,76,394.66
481,13,426.29
482,84,299.48
483,43,299.55
484,75,108.56
485,60,137.47
486,77,196.34
487,71,358.70
488,45,378.27
489,6,103.85
490,40,134.36
491,30,312.54
492,4,169.70
493,57,155.22
494,73,202.18
495,48,142.24
496,55,155.67
497,60,164.62
498,38,304.18
499,98,218.47
500,63,336.42
501,27,259.53
502,27,422.84
503,45,386.15
504,56,322.44
505,15,418.65
506,22,266.77
507,49,400.99
508,4,313.73
509,68,109.71
510,28,270.37
511,95,406.87
512,13,153.83
513,58,261.91
514,54,340.72
515,58,143.58
516,18,390.97
517,21,364.15
518,38,283.85
519,95,161.50
520,46,103.33
521,17,191.80
522,47,271.86
523,97,128.15
524,92,335.85
525,67,263.62
526,8,368.13
527,10,124.88
528,48,369.06
529,25,373.59
530,90,421.02
531,71,346.02
532,37,254.68
533,54,129.83
534,53,326.30
535,96,183.71
536,25,115.55
537,83,189.79
538,75,330.50
539,6,302.76
540,20,141.74
541,35,259.57
542,41,392.18
543,68,168.99
544,13,299.99
545,21,411.09
546,100,239.55
547,82,206.02
548,96,411.80
549,52,146.40
550,22,124.38
551,21,388.54
552,22,272.49
553,62,124.36
554,30,306.14
555,33,187.29
556,28,138.83
557,74,323.89
558,59,249.49
559,37,193.37
560,16,274.70
561,16,214.19
562,18,156.40
563,30,179.02
564,26,209.93
565,53,276.66
566,59,245.51
567,36,148.55
568,21,333.89
569,81,290.96
570,76,400.14
571,97,119.42
572,40,253.29
573,91,283.54
574,30,184.94
575,49,272.00
576,81,140.01
577,96,206.32
578,70,214.20
579,16,157.26
580,49,153.78
581,4,311.72
582,17,284.33
583,3,239.19
584,90,233.59
585,80,257.99
586,12,168.73
587,78,201.31
588,67,257.67
589,42,221.49
590,25,125.96
591,29,243.37
592,20,244.45
593,52,411.56
594,93,138.16
595,67,125.14
596,67,266.79
597,66,298.72
598,20,173.41
599,78,217.32
600,84,407.20
601,7,177.54
602,76,161.44
603,88,299.60
604,42,426.30
605,60,149.00
606,53,337.92
607,64,365.80
608,100,127.65
609,61,126.95
610,58,319.08
611,71,159.22
612,5,418.82
613,10,213.09
614,27,183.23
615,12,387.35
616,48,153.68
617,59,129.99
618,38,282.66
619,28,373.09
620,81,224.54
621,20,333.37
622,90,113.38
623,34,334.42
624,38,158.63
625,70,216.25
626,7,174.95
627,16,100.55
628,7,326.08
629,84,286.27
630,68,266.82
631,17,162.81
632,75,256.78
633,43,124.08
634,43,119.36
635,33,145.07
636,24,274.86
637,78,314.82
638,52,393.53
639,52,264.17
640,42,225.15
641,43,160.82
642,14,117.05
643,79,209.99
644,5,206.60
645,52,350.34
646,73,387.47
647,1,360.08
648,78,363.63
649,75,424.51
650,2,251.77
651,59,414.00
652,59,390.79
653,67,217.29
654,55,163.73
655,21,362.19
656,100,389.06
657,52,353.38
658,64,239.23
659,3,185.23
660,82,124.76
661,19,165.70
662,47,191.01
663,65,249.34
664,96,295.42
665,20,241.30
666,97,287.34
667,31,104.45
668,65,232.24
669,34,420.68
670,18,385.67
671,73,272.39
672,92,230.92
673,86,131.93
674,37,317.89
675,89,143.79
676,44,319.04
677,100,404.12
678,26,316.57
679,40,175.94
680,48,375.12
681,84,351.16
682,14,171.42
683,64,199.23
684,71,288.58
685,99,250.21
686,35,392.87
687,37,386.20
688,49,160.72
689,72,401.19
690,21,139.66
691,99,295.36
692,45,218.97
693,60,354.94
694,86,102.78
695,50,249.71
696,41,116.72
697,54,148.41
698,74,187.30
699,3,134.88
700,29,240.20
701,31,270.11
702,28,184.44
703,68,204.20
704,88,107.18
705,18,355.81
706,39,156.79
707,27,286.40
708,30,411.19
709,37,218.89
710,6,209.25
711,15,344.99
712,36,191.35
713,59,266.40
714,1,300.82
715,86,423.18
716,75,269.27
717,77,317.58
718,62,425.11
719,82,302.14
720,14,173.12
721,45,101.77
722,85,176.40
723,93,183.25
724,27,345.69
725,17,125.02
726,99,322.78
727,16,100.57
728,49,133.49
729,77,283.79
730,91,160.37
731,15,357.31
732,65,404.34
733,93,158.14
734,4,151.43
735,91,364.90
736,48,307.72
737,84,328.76
738,53,343.52
739,11,144.38
740,87,301.92
741,64,130.67
742,50,140.40
743,64,230.45
744,12,307.05
745,91,362.89
746,40,407.64
747,85,305.69
748,74,192.70
749,47,140.99
750,56,376.29
751,72,169.52
752,37,306.58
753,44,344.07
754,12,158.07
755,91,420.42
756,48,405.71
757,16,221.54
758,81,352.43
759,28,230.07
760,45,267.00
761,70,266.66
762,51,383.82
763,53,401.19
764,100,338.75
765,56,215.97
766,56,156.72
767,88,240.56
768,44,139.39
769,11,366.33
770,94,113.26
771,36,371.15
772,28,301.63
773,95,311.61
774,80,348.73
775,75,342.39
776,55,397.73
777,53,341.74
778,25,423.40
779,38,213.49
780,57,410.24
781,75,261.24
782,81,198.41
783,40,211.70
784,16,277.58
785,51,214.81
786,6,384.85
787,15,103.84
788,40,135.99
789,33,243.22
790,77,184.71
791,97,247.17
792,35,274.69
793,64,207.74
794,38,215.74
795,84,387.46
796,82,149.02
797,9,410.96
798,75,234.24
799,83,136.46
800,26,383.64
801,75,292.49
802,58,175.79
803,19,145.61
804,44,229.20
805,68,114.68
806,66,253.76
807,50,371.69
808,65,302.75
809,67,395.60
810,66,115.79
811,36,349.44
812,62,126.36
813,4,399.93
814,54,335.00
815,69,160.52
816,62,294.13
817,72,275.28
818,60,337.69
819,4,132.70
820,55,420.38
821,58,280.30
822,16,304.10
823,83,252.35
824,45,405.52
825,75,381.57
826,57,161.07
827,29,273.26
828,75,104.59
829,54,218.96
830,70,254.06
831,46,194.04
832,100,347.36
833,41,422.77
834,93,421.66
835,54,121.19
836,43,395.04
837,98,367.38
838,63,421.89
839,43,173.08
840,59,352.99
841,75,225.57
842,90,399.35
843,59,424.92
844,79,347.78
845,99,114.83
846,10,410.37
847,91,239.35
848,35,400.38
849,58,267.54
850,77,316.75
851,14,259.32
852,62,340.46
853,1,259.19
854,79,375.86
855,67,182.26
856,46,416.93
857,35,243.53
858,22,233.27
859,18,179.54
860,92,311.06
861,49,262.67
862,31,250.10
863,39,390.91
864,17,156.62
865,48,253.50
866,32,249.92
867,23,132.13
868,53,290.34
869,86,422.69
870,8,272.65
871,57,420.46
872,100,387.82
873,32,351.99
874,42,386.42
875,63,315.13
876,12,278.98
877,70,110.57
878,98,212.68
879,22,180.01
880,80,148.97
881,77,425.21
882,49,130.68
883,50,399.86
884,44,124.73
885,53,270.12
886,61,229.13
887,43,137.37
888,99,230.21
889,25,395.85
890,7,281.93
891,73,391.11
892,95,382.51
893,66,345.63
894,36,420.12
895,1,213.14
896,81,101.35
897,60,100.19
898,21,206.47
899,58,176.51
900,15,225.50
901,14,125.08
902,88,372.43
903,81,313.21
904,72,410.43
905,46,148.29
906,80,336.19
907,60,386.77
908,83,271.33
909,83,272.59
910,16,349.30
911,63,205.88
912,60,239.43
913,18,162.68
914,81,407.30
915,3,306.65
916,1,165.51
917,58,239.49
918,75,184.54
919,89,382.00
920,6,258.15
921,44,293.89
922,28,320.49
923,61,373.55
924,66,424.55
925,55,107.52
926,41,142.69
927,24,293.69
928,45,307.61
929,21,114.53
930,26,345.73
931,37,416.26
932,24,347.08
933,52,138.23
934,75,140.75
935,49,197.57
936,39,260.18
937,74,134.80
938,50,344.03
939,43,187.38
940,30,184.66
941,18,322.49
942,50,280.69
943,61,376.48
944,51,224.38
945,48,368.92
946,95,299.91
947,9,223.52
948,54,363.58
949,41,257.55
950,47,398.89
951,68,361.27
952,29,422.03
953,72,212.22
954,19,198.56
955,34,411.68
956,37,378.93
957,58,334.88
958,20,270.92
959,49,118.64
960,11,409.98
961,23,284.34
962,95,230.57
963,26,194.09
964,20,310.13
965,15,306.63
966,21,144.01
967,83,255.92
968,86,267.95
969,87,340.30
970,43,341.44
971,55,411.35
972,8,370.33
973,69,145.72
974,31,286.55
975,52,259.79
976,81,148.00
977,19,130.64
978,33,108.67
979,92,230.47
980,34,128.24
981,76,250.68
982,59,209.79
983,25,339.51
984,40,151.62
985,9,261.54
986,34,257.25
987,93,298.77
988,50,351.26
989,94,339.73
990,67,183.37
991,67,320.96
992,1,206.85
993,47,105.96
994,90,243.07
995,72,327.28
996,63,261.20
997,72,310.91
998,30,129.42
999,86,179.16
1000,75,273.11
